timestamp,RH X ,RH Y,RH Z,RS X, RS Y,RS Z,RE X,RE Y,RE Z,RW X,RW Y,RW Z,LS X,LS Y,LS Z,LC X,LC Y,LC Z
1676113744132471,-1.58494,0.639529,3.00905,-1.53621,1.00856,3.24132,-1.55644,0.873228,3.08459,-1.5792,0.68526,3.02401,-1.56198,0.852986,3.04398,-1.54254,0.966921,3.11926
1676113744160066,-1.58825,0.677858,2.95911,-1.53235,1.03048,3.23392,-1.55393,0.885683,3.089,-1.58003,0.716478,2.98707,-1.56208,0.859396,3.03821,-1.54242,0.967214,3.11895
1676113744194956,-1.57222,0.729488,2.90103,-1.53293,1.02994,3.23583,-1.55377,0.890429,3.08671,-1.56401,0.768042,2.92894,-1.56121,0.858267,3.03797,-1.54419,0.945314,3.13154
1676113744225194,-1.57224,0.734051,2.90829,-1.53429,1.03039,3.24562,-1.5536,0.894619,3.09367,-1.56405,0.77254,2.93616,-1.56102,0.857483,3.03962,-1.54354,0.943482,3.13083
1676113744264735,-1.57226,0.736424,2.91048,-1.53399,1.03138,3.2455,-1.5535,0.895514,3.09538,-1.56408,0.774818,2.93828,-1.56098,0.857689,3.04097,-1.54221,0.955034,3.1409
1676113744294180,-1.57226,0.739311,2.91392,-1.53426,1.03412,3.24686,-1.55329,0.898207,3.09789,-1.56408,0.777694,2.94171,-1.5603,0.85905,3.04636,-1.54174,0.98383,3.13367
1676113744324960,-1.57884,0.67793,2.98008,-1.53604,1.03734,3.25586,-1.55366,0.901832,3.10674,-1.57254,0.733905,3.00975,-1.5604,0.859116,3.04663,-1.54226,0.978839,3.13261
1676113744362197,-1.57975,0.661735,3.02161,-1.53606,1.03752,3.25514,-1.5539,0.902968,3.10553,-1.57329,0.722043,3.04059,-1.56001,0.858317,3.04753,-1.54017,0.974384,3.1295
1676113744392887,-1.56891,0.709228,2.92634,-1.53617,1.03893,3.25532,-1.5544,0.902207,3.1086,-1.57191,0.744821,2.99519,-1.56006,0.85863,3.05082,-1.54016,0.97428,3.13037
1676113744437467,-1.57497,0.648949,3.03947,-1.5357,1.02977,3.25208,-1.55462,0.894873,3.10406,-1.56988,0.71043,3.05361,-1.55875,0.854572,3.04803,-1.53862,0.970086,3.12407
1676113744459761,-1.57541,0.653484,3.03973,-1.53661,1.03558,3.25602,-1.55512,0.89765,3.11119,-1.57034,0.714526,3.05559,-1.55933,0.853579,3.04797,-1.53672,0.979493,3.11964
1676113744497355,-1.57609,0.660093,3.02399,-1.53702,1.03752,3.25706,-1.55483,0.898419,3.11365,-1.57078,0.719675,3.04439,-1.55958,0.854199,3.04794,-1.53786,0.965286,3.12795
1676113744526742,-1.55468,0.670516,2.96959,-1.5229,1.03529,3.23814,-1.53607,0.898399,3.08977,-1.55003,0.727487,2.99761,-1.54177,0.848887,3.01419,-1.51865,0.999742,3.09175
1676113744562665,-1.53817,0.722196,2.94295,-1.51621,1.03288,3.21818,-1.53321,0.890923,3.07591,-1.54927,0.717741,2.98931,-1.54156,0.847591,3.01512,-1.52343,0.974178,3.09056
1676113744602908,-1.54335,0.702239,2.9486,-1.51462,1.03434,3.21293,-1.53248,0.891203,3.07241,-1.54923,0.714645,2.99445,-1.54133,0.845422,3.01387,-1.52292,0.968443,3.09141
1676113744636905,-1.54374,0.682509,2.92731,-1.51993,0.992597,3.2259,-1.53606,0.864004,3.06866,-1.54816,0.693489,2.97371,-1.54245,0.837332,3.02424,-1.52651,0.960786,3.10292
1676113744663019,-1.54732,0.66368,2.95987,-1.51842,0.986603,3.22016,-1.5354,0.862182,3.05812,-1.55067,0.675216,3.00622,-1.54229,0.836911,3.025,-1.52963,0.941755,3.12049
1676113744700373,-1.54902,0.664013,2.95933,-1.51875,0.987321,3.22005,-1.53529,0.86133,3.05988,-1.55235,0.675534,3.00562,-1.54115,0.835507,3.02848,-1.52756,0.940905,3.11397
1676113744730849,-1.54903,0.660193,2.92687,-1.52011,0.975574,3.2169,-1.53549,0.848955,3.05598,-1.55237,0.671723,2.97319,-1.54229,0.853465,3.01279,-1.5264,0.966628,3.11052
1676113744759754,-1.552,0.644482,2.93458,-1.52291,0.962237,3.23404,-1.53931,0.822203,3.08611,-1.55534,0.656029,2.98097,-1.54287,0.844752,3.02502,-1.52848,0.961076,3.11229
1676113744791787,-1.54979,0.632406,2.95459,-1.52293,0.962641,3.22991,-1.53941,0.821468,3.08342,-1.55314,0.643957,3.001,-1.54364,0.832618,3.03143,-1.52804,0.95307,3.1134
1676113744826911,-1.54949,0.577232,2.99736,-1.52289,0.962485,3.2302,-1.53955,0.820676,3.08265,-1.55309,0.641998,2.9999,-1.54319,0.826982,3.0326,-1.53129,0.942448,3.10625
1676113744864482,-1.54397,0.568181,2.99948,-1.5237,0.961425,3.23218,-1.54234,0.809574,3.0973,-1.5526,0.626679,3.0262,-1.54277,0.824213,3.03337,-1.53091,0.942466,3.10565
1676113744899066,-1.55122,0.573776,3.00081,-1.52379,0.962754,3.24713,-1.54152,0.809196,3.11473,-1.54847,0.633833,3.0252,-1.54407,0.818084,3.03812,-1.53317,0.926634,3.11052
1676113744924293,-1.54878,0.569954,3.00693,-1.52463,0.960664,3.24696,-1.54262,0.80787,3.11357,-1.55567,0.63043,3.02946,-1.54386,0.784038,3.03463,-1.53333,0.92757,3.11097
1676113744960866,-1.5507,0.575124,3.00365,-1.52713,0.953187,3.24898,-1.54206,0.820626,3.09173,-1.55528,0.638206,3.01828,-1.54258,0.792645,3.02556,-1.53479,0.907459,3.1071
1676113744991410,-1.55507,0.548397,3.0264,-1.53158,0.927598,3.27551,-1.54696,0.78399,3.128,-1.55678,0.613316,3.02552,-1.54217,0.770195,3.02475,-1.53518,0.905668,3.10806
1676113745023210,-1.561,0.531089,2.98935,-1.531,0.906799,3.24236,-1.55289,0.757021,3.10222,-1.56036,0.595963,2.98313,-1.5438,0.770742,3.0275,-1.53781,0.888528,3.11647
1676113745059812,-1.55576,0.559798,2.99155,-1.52909,0.918511,3.24315,-1.54595,0.775277,3.09374,-1.55058,0.619708,2.96579,-1.5463,0.766534,3.03234,-1.53878,0.877084,3.11939
1676113745097068,-1.55524,0.560896,2.99417,-1.53245,0.916693,3.25719,-1.54712,0.77735,3.10243,-1.55139,0.622662,2.97213,-1.54638,0.760667,3.02824,-1.53831,0.868541,3.11726
1676113745142814,-1.56098,0.550348,2.97767,-1.53247,0.919787,3.25327,-1.54716,0.779701,3.0983,-1.56184,0.616167,2.97981,-1.54856,0.758496,3.03362,-1.53931,0.8468,3.11344
1676113745165033,-1.556,0.540058,2.98957,-1.53062,0.921431,3.2496,-1.54635,0.779908,3.09531,-1.55836,0.605896,2.99253,-1.54999,0.75899,3.03558,-1.53967,0.8462,3.11304
1676113745203072,-1.55923,0.512897,2.97663,-1.53441,0.896364,3.23157,-1.5494,0.756621,3.07478,-1.56091,0.578883,2.97811,-1.54853,0.764702,3.03218,-1.53993,0.846984,3.11293
1676113745224856,-1.5571,0.525506,2.97877,-1.53578,0.891302,3.23118,-1.54452,0.778031,3.05121,-1.55796,0.591437,2.97401,-1.54811,0.763223,3.02516,-1.54317,0.831056,3.11862
1676113745263122,-1.55612,0.570642,2.97372,-1.53153,0.912717,3.23726,-1.54266,0.820736,3.04411,-1.55695,0.635812,2.96155,-1.54896,0.762046,3.02927,-1.54114,0.845647,3.11386
1676113745296871,-1.56109,0.55029,2.95611,-1.53159,0.885001,3.22935,-1.54308,0.805135,3.02998,-1.56131,0.6166,2.9569,-1.54956,0.75992,3.03653,-1.54079,0.846206,3.10774
1676113745343027,-1.56122,0.536391,2.96021,-1.53065,0.920915,3.23354,-1.54864,0.770719,3.08531,-1.56325,0.602275,2.96874,-1.55044,0.760074,3.03953,-1.54096,0.845697,3.10868
1676113745360494,-1.56211,0.498529,2.99355,-1.54104,0.871789,3.25433,-1.55329,0.743243,3.08379,-1.56173,0.564334,2.98375,-1.55008,0.761232,3.0358,-1.54267,0.827673,3.1265
1676113745403380,-1.56264,0.499451,2.98832,-1.54047,0.874036,3.25431,-1.55301,0.744287,3.08401,-1.56279,0.565784,2.98205,-1.55117,0.761196,3.04007,-1.54123,0.83985,3.11911
1676113745434420,-1.55733,0.542148,3.00858,-1.53786,0.916661,3.29264,-1.54977,0.78307,3.12442,-1.55989,0.608592,3.01343,-1.55133,0.764519,3.04023,-1.54166,0.838587,3.12442
1676113745465452,-1.55934,0.511151,2.98558,-1.53949,0.902012,3.24556,-1.55194,0.758339,3.08591,-1.55961,0.577852,2.98417,-1.55045,0.764621,3.0476,-1.54084,0.840825,3.12039
1676113745495473,-1.56465,0.496032,2.98572,-1.54062,0.878773,3.24495,-1.55309,0.742397,3.07772,-1.56204,0.561888,2.97517,-1.54958,0.758104,3.04267,-1.54136,0.834125,3.1259
1676113745527182,-1.56402,0.491871,2.97954,-1.53887,0.882805,3.2305,-1.5529,0.74047,3.06966,-1.56324,0.558099,2.97193,-1.54741,0.777781,3.03982,-1.54177,0.832709,3.12342
1676113745563552,-1.56266,0.489106,2.97901,-1.53847,0.88261,3.22968,-1.55274,0.739651,3.06898,-1.56314,0.555622,2.97393,-1.5469,0.780881,3.0401,-1.54089,0.839158,3.12297
1676113745599862,-1.56226,0.486741,2.97537,-1.53986,0.877075,3.22976,-1.55336,0.735778,3.06694,-1.56193,0.553101,2.96822,-1.54532,0.781825,3.03637,-1.53992,0.851726,3.12361
1676113745633168,-1.56455,0.451291,2.96592,-1.55282,0.806854,3.25024,-1.55858,0.700681,3.05984,-1.56514,0.517892,2.96116,-1.54414,0.758952,3.0012,-1.54363,0.840488,3.12379
