timestamp,RH X ,RH Y,RH Z,RS X, RS Y,RS Z,RE X,RE Y,RE Z,RW X,RW Y,RW Z,LS X,LS Y,LS Z,LC X,LC Y,LC Z
1684796576570651,0.0872069,-0.197096,0.87664,0.0832039,-0.178306,1.06027,-0.0171076,-0.0845782,0.979171,0.0879881,-0.180682,0.917745,-0.149604,-0.168537,1.10768,-0.0404913,-0.0921027,1.03579
1684796576614610,0.0854181,-0.196945,0.875199,0.0830615,-0.178372,1.05982,-0.0185804,-0.0842468,0.979523,0.0870318,-0.179905,0.916129,-0.149973,-0.168483,1.1082,-0.0408268,-0.0920518,1.03629
1684796576645071,0.0843938,-0.196543,0.874714,0.0830638,-0.178312,1.05968,-0.0202046,-0.0842188,0.980105,0.0864462,-0.179323,0.915645,-0.150301,-0.168382,1.10832,-0.0411266,-0.0919568,1.03641
1684796576675639,0.0837216,-0.19663,0.874246,0.0830762,-0.178241,1.05962,-0.0215916,-0.0842125,0.980337,0.0860581,-0.17903,0.915165,-0.150463,-0.168324,1.10824,-0.0412727,-0.0919014,1.03633
1684796576705623,0.0841201,-0.195707,0.874029,0.0813042,-0.177673,1.05997,-0.0238364,-0.0833307,0.980073,0.0850112,-0.178214,0.915202,-0.150628,-0.168108,1.10817,-0.0414235,-0.0916904,1.03626
1684796576735796,0.0822662,-0.19491,0.871769,0.0807729,-0.177904,1.0598,-0.0251153,-0.0834047,0.980289,0.0833303,-0.178216,0.913365,-0.174642,-0.18827,1.06436,-0.041546,-0.0915977,1.03632
1684796576767553,0.0868092,-0.195968,0.873821,0.0797389,-0.178256,1.0597,-0.0263867,-0.0834058,0.980114,0.0836816,-0.178047,0.914881,-0.174834,-0.188297,1.06433,-0.0425221,-0.0914217,1.0366
1684796576812377,0.0861268,-0.196046,0.873374,0.0787451,-0.178029,1.06016,-0.0279541,-0.0834376,0.980214,0.0823907,-0.178049,0.914428,-0.174239,-0.188195,1.06414,-0.0425328,-0.0913763,1.03659
1684796576843112,0.163655,-0.257362,0.847911,0.0787139,-0.178066,1.06019,-0.0282367,-0.0831401,0.980275,0.0818473,-0.178335,0.913985,-0.174046,-0.188252,1.06365,-0.0428525,-0.0913749,1.03621
1684796576873045,0.165238,-0.259689,0.846906,0.079072,-0.177965,1.06048,-0.0282722,-0.0830621,0.980302,0.0823986,-0.178609,0.914728,-0.173196,-0.188266,1.06305,-0.0427482,-0.0913457,1.03597
1684796576903300,0.167057,-0.262949,0.845678,0.0792016,-0.177939,1.06057,-0.0286183,-0.0830363,0.980238,0.0826687,-0.178928,0.915372,-0.171242,-0.18602,1.06247,-0.0427313,-0.0913181,1.0358
1684796576933860,0.0874684,-0.200859,0.876239,0.0792713,-0.178137,1.06047,-0.0287913,-0.0829305,0.980074,0.0828031,-0.179459,0.915851,-0.173506,-0.187135,1.06253,-0.0426242,-0.0913317,1.03574
1684796576964061,0.0880395,-0.203111,0.877812,0.0798844,-0.177449,1.06123,-0.0287346,-0.0827691,0.980105,0.082901,-0.18028,0.91664,-0.17299,-0.186755,1.06251,-0.0422289,-0.0911922,1.03567
1684796577008703,0.175467,-0.279305,0.843962,0.0801654,-0.176957,1.0615,0.133036,-0.259747,0.959633,0.184226,-0.262078,0.846571,-0.172671,-0.186664,1.06235,-0.0413622,-0.0909278,1.03551
1684796577038958,0.178268,-0.284985,0.844533,0.0806047,-0.176818,1.06166,0.141853,-0.250532,0.962994,0.183895,-0.269487,0.847671,-0.172341,-0.186504,1.06228,-0.0411268,-0.0908356,1.03532
1684796577069527,0.179706,-0.287029,0.848124,0.0810092,-0.176449,1.06199,0.142446,-0.250879,0.963021,0.186694,-0.273843,0.849461,-0.172261,-0.186408,1.06223,-0.0407931,-0.0908516,1.03513
1684796577113665,0.182717,-0.28839,0.855385,0.0807998,-0.175445,1.06362,0.132438,-0.248332,0.972984,0.186476,-0.275412,0.865268,-0.172176,-0.186149,1.06202,-0.0405001,-0.0907337,1.0348
1684796577143659,0.179579,-0.289517,0.86913,0.0787611,-0.173302,1.06708,0.159669,-0.224601,0.985125,0.179738,-0.281814,0.877667,-0.171911,-0.185861,1.06166,-0.0399535,-0.0906029,1.03427
1684796577173737,0.178205,-0.291513,0.873773,0.0725344,-0.170781,1.07033,0.184538,-0.185459,1.02669,0.178003,-0.278707,0.894751,-0.171676,-0.185165,1.0607,-0.0394675,-0.0901399,1.03319
1684796577204298,0.177029,-0.295721,0.875357,0.0754129,-0.165601,1.07732,0.181066,-0.189686,1.01978,0.179229,-0.284312,0.892982,-0.171021,-0.184627,1.0603,-0.0385659,-0.0897561,1.03268
1684796577233684,0.228231,-0.31102,0.875914,0.0771882,-0.164809,1.07879,0.179781,-0.192772,1.0154,0.17905,-0.287033,0.893705,-0.171028,-0.184621,1.06033,-0.0385483,-0.0897778,1.0327
1684796577265083,0.236366,-0.326486,0.856196,0.0784192,-0.163887,1.07873,0.186525,-0.231097,0.994709,0.201434,-0.305862,0.876215,-0.170981,-0.184321,1.05982,-0.0383903,-0.0896025,1.03215
1684796577309791,0.251372,-0.336543,0.857721,0.0786947,-0.163424,1.07905,0.149831,-0.261768,0.962529,0.21209,-0.315451,0.865445,-0.171208,-0.184146,1.05975,-0.0385026,-0.0895348,1.03208
1684796577339755,0.242842,-0.334424,0.868924,0.0810096,-0.164394,1.07935,0.139994,-0.266638,0.973909,0.199564,-0.322383,0.874732,-0.173297,-0.184535,1.05871,-0.0403633,-0.0901081,1.03101
1684796577370419,0.244248,-0.34454,0.878532,0.0817034,-0.164832,1.07958,0.153458,-0.270803,0.971046,0.201631,-0.329865,0.874466,-0.177304,-0.186932,1.05792,-0.0441946,-0.0927314,1.03013
1684796577414556,0.248772,-0.351346,0.892675,0.0818365,-0.165179,1.07977,0.154044,-0.271576,0.971715,0.208658,-0.333987,0.88116,-0.178954,-0.18806,1.05761,-0.045772,-0.0939677,1.02977
1684796577445170,0.24741,-0.3578,0.894107,0.0811816,-0.16637,1.08003,0.154943,-0.273082,0.973071,0.205849,-0.342426,0.885428,-0.180952,-0.188965,1.05745,-0.0476887,-0.0949496,1.02958
1684796577474613,0.178331,-0.426395,0.864993,0.0807824,-0.167358,1.08053,0.155233,-0.274697,0.974458,0.170129,-0.38497,0.893307,-0.182047,-0.189585,1.05768,-0.0487405,-0.0956188,1.02979
1684796577519535,0.0407745,-0.382445,0.96065,0.0809975,-0.16768,1.08158,0.155415,-0.275722,0.975871,0.0694346,-0.355764,0.962455,-0.186278,-0.188583,1.05867,-0.0528427,-0.0947171,1.03073
1684796577549863,-0.058224,-0.254139,0.983569,0.0685572,-0.170324,1.07992,0.152609,-0.274468,0.978031,-0.00551569,-0.259221,0.980184,-0.186941,-0.188487,1.05906,-0.0534878,-0.0946448,1.03111
1684796577579533,-0.068222,-0.212223,0.990237,0.0253684,-0.160345,1.07474,0.10293,-0.278155,0.989646,-0.0254339,-0.228706,0.988086,-0.185623,-0.187899,1.05721,-0.0509273,-0.0947099,1.02987
1684796577609781,0.218445,-0.342908,0.850312,0.0281991,-0.158158,1.07643,0.1523,-0.233722,1.00987,0.203367,-0.318018,0.884859,-0.215241,-0.20861,1.05531,-0.058456,-0.0960267,1.03357
1684796577639664,0.208414,-0.31878,0.846394,0.0314741,-0.15619,1.07696,0.131266,-0.210821,1.03049,0.188664,-0.287849,0.895224,-0.215574,-0.214738,1.05132,-0.0592887,-0.0960756,1.03396
1684796577669822,0.219347,-0.314008,0.850195,0.0108009,-0.15198,1.09141,0.126808,-0.196172,1.0394,0.183663,-0.27607,0.906042,-0.201394,-0.216103,1.04969,-0.100094,-0.0956393,1.05428
1684796577715736,0.197896,-0.265087,0.951641,0.00997487,-0.156493,1.09172,0.134189,-0.169039,1.06924,0.168222,-0.239704,0.974001,-0.182861,-0.213219,1.05121,-0.098851,-0.101381,1.05297
1684796577745512,0.17658,-0.21603,1.00545,0.00101041,-0.214816,1.03494,0.142267,-0.172535,1.06161,0.175474,-0.243127,0.966178,-0.180963,-0.212071,1.05577,-0.0998225,-0.103983,1.05612
1684796577776530,0.213253,-0.279502,0.930285,0.0150574,-0.221974,1.0344,0.165352,-0.185944,1.05387,0.201278,-0.256112,0.959177,-0.170049,-0.199528,1.04797,-0.0946842,-0.0987146,1.04947
1684796577806803,0.247987,-0.209359,1.02506,0.0625362,-0.282226,1.04275,0.0927294,-0.170161,1.04151,0.207736,-0.191427,1.03237,-0.126439,-0.246041,1.05167,-0.0517689,-0.146819,1.04996
1684796577851848,-0.0274876,-0.0298053,0.825086,0.0527675,-0.263682,1.04054,0.0270224,-0.141537,0.927403,-0.0138601,-0.0577383,0.848662,-0.136208,-0.227497,1.04946,-0.0615375,-0.128276,1.04775
1684796577881808,-0.0440352,-0.0240376,0.826247,0.0491644,-0.251775,1.03809,0.0277662,-0.132216,0.920798,-0.0260848,-0.0510823,0.847882,-0.139811,-0.21559,1.04701,-0.0651406,-0.116369,1.0453
1684796577911943,-0.105619,-0.0287434,0.892482,0.053444,-0.24814,1.03548,0.0492192,-0.135335,0.908619,-0.0669097,-0.0553912,0.894514,-0.135531,-0.211956,1.04439,-0.060861,-0.112734,1.04269
1684796577941717,-0.107509,-0.0276836,0.894934,0.0566724,-0.246323,1.03517,0.0513788,-0.134397,0.907418,-0.0677867,-0.0543618,0.896054,-0.132303,-0.210139,1.04408,-0.0576326,-0.110917,1.04237
1684796577986758,-0.110163,-0.0269009,0.900707,0.0601569,-0.240754,1.03119,0.0538921,-0.129777,0.902542,-0.0691493,-0.0526198,0.899166,-0.128818,-0.204569,1.04011,-0.0541482,-0.105348,1.0384
1684796578016571,-0.111259,-0.0271356,0.904376,0.0615252,-0.235022,1.02763,0.0548606,-0.124975,0.898097,-0.0697288,-0.0515954,0.900808,-0.12745,-0.198837,1.03654,-0.0527799,-0.0996157,1.03483
